node_id,x_lon,y_lat,source
10009448543,127.115375,37.522372,osm_overpass
10009448544,127.115401,37.522410,osm_overpass
10009448545,127.113199,37.517887,osm_overpass
10009448546,127.116560,37.523417,osm_overpass
10009448547,127.115808,37.522218,osm_overpass
10009448548,127.116516,37.523346,osm_overpass
10009448549,127.113264,37.517764,osm_overpass
10009448550,127.113289,37.517734,osm_overpass
10009448551,127.113313,37.517669,osm_overpass
10009448552,127.113320,37.517614,osm_overpass
10009448553,127.113365,37.517506,osm_overpass
10009448554,127.127336,37.512331,osm_overpass
10009448555,127.127453,37.512294,osm_overpass
10009448556,127.127592,37.512272,osm_overpass
10009448557,127.127715,37.512280,osm_overpass
10009448558,127.127823,37.512307,osm_overpass
10009448559,127.127952,37.512348,osm_overpass
10009448560,127.128082,37.512426,osm_overpass
10009448561,127.128193,37.512497,osm_overpass
10009448562,127.130349,37.515752,osm_overpass
10009448563,127.113329,37.517592,osm_overpass
10009448564,127.113332,37.517584,osm_overpass
10009448565,127.113294,37.517720,osm_overpass
10009448566,127.113301,37.517701,osm_overpass
10009448567,127.113298,37.517710,osm_overpass
10009448568,127.116098,37.516580,osm_overpass
10009448569,127.118448,37.515729,osm_overpass
10009448570,127.122356,37.514337,osm_overpass
10009448571,127.122835,37.514148,osm_overpass
10009448572,127.127860,37.512319,osm_overpass
10009448573,127.115957,37.516631,osm_overpass
10009448574,127.116210,37.516539,osm_overpass
10009448575,127.117159,37.524407,osm_overpass
10009471488,127.112897,37.518130,osm_overpass
10009471489,127.117573,37.525147,osm_overpass
10009471490,127.118005,37.525349,osm_overpass
10009471491,127.117301,37.524661,osm_overpass
10009471492,127.133376,37.520882,osm_overpass
10009471493,127.133393,37.520756,osm_overpass
10009471494,127.131988,37.518146,osm_overpass
10009471495,127.130965,37.516632,osm_overpass
10009471496,127.131448,37.517330,osm_overpass
10009471497,127.131147,37.516903,osm_overpass
10009471498,127.130429,37.515860,osm_overpass
10009471499,127.131567,37.517518,osm_overpass
10009486960,127.128545,37.512314,osm_overpass
10009486961,127.129605,37.513796,osm_overpass
10009486962,127.130844,37.515682,osm_overpass
10010282663,127.088852,37.511513,osm_overpass
10010282664,127.100037,37.513297,osm_overpass
10033498363,127.101787,37.524564,osm_overpass
10033498364,127.101470,37.523410,osm_overpass
10033498365,127.102112,37.523384,osm_overpass
10069373861,127.094780,37.509513,osm_overpass
10069373862,127.095085,37.509504,osm_overpass
10069373863,127.095502,37.509557,osm_overpass
10069373864,127.095769,37.509545,osm_overpass
10090030400,127.105002,37.498626,osm_overpass
10090030402,127.103343,37.498116,osm_overpass
10090030403,127.105984,37.498925,osm_overpass
10090030409,127.105881,37.499864,osm_overpass
10090036243,127.104639,37.499467,osm_overpass
10090036244,127.106585,37.499950,osm_overpass
10090036255,127.106534,37.500057,osm_overpass
10103111030,127.140429,37.505580,osm_overpass
10103111037,127.140651,37.506617,osm_overpass
10103111038,127.140225,37.505631,osm_overpass
10103111039,127.140597,37.505538,osm_overpass
10103111040,127.140525,37.505556,osm_overpass
10103111109,127.140488,37.505565,osm_overpass
10103111120,127.139940,37.504729,osm_overpass
10103111121,127.140357,37.504829,osm_overpass
10103111124,127.139148,37.505546,osm_overpass
10103111125,127.139391,37.505693,osm_overpass
10103111126,127.139437,37.505714,osm_overpass
10103111127,127.139485,37.505732,osm_overpass
10103111128,127.139530,37.505738,osm_overpass
10103111129,127.139573,37.505734,osm_overpass
10103111130,127.139620,37.505715,osm_overpass
10103111131,127.139638,37.505691,osm_overpass
10103111132,127.139641,37.505666,osm_overpass
10103111133,127.139646,37.505641,osm_overpass
10103111134,127.139636,37.505618,osm_overpass
10103111135,127.139617,37.505585,osm_overpass
10103111136,127.139580,37.505533,osm_overpass
10103111137,127.139557,37.505493,osm_overpass
10103111138,127.139522,37.505429,osm_overpass
