policy_id,scenario_id,road_noise_sigma,turnaround_noise_lambda,n_seeds,n_finite,n_inf,n_unique_finite,makespan_min,makespan_max,makespan_mean,ci_width_95
baseline_multimodal,no_disruption,0.0,0.0,10,10,0,1,46.41991672397955,46.41991672397955,46.4199,0.0
baseline_multimodal,no_disruption,0.0,0.2,10,10,0,1,46.41991672397955,46.41991672397955,46.4199,0.0
baseline_multimodal,no_disruption,0.0,0.4,10,10,0,3,46.41991672397955,51.130961727037715,47.0479,0.9403
baseline_multimodal,no_disruption,0.05,0.0,10,10,0,10,46.37548213194588,46.43326200824711,46.4084,0.013
baseline_multimodal,no_disruption,0.05,0.2,10,10,0,10,46.37548213194588,46.43326200824711,46.4084,0.013
baseline_multimodal,no_disruption,0.05,0.4,10,10,0,10,46.37548213194588,51.1440431889041,47.0349,0.9445
baseline_multimodal,no_disruption,0.1,0.0,10,10,0,10,46.33104753991223,46.4466072925147,46.3968,0.0259
baseline_multimodal,no_disruption,0.1,0.2,10,10,0,10,46.33104753991223,46.4466072925147,46.3968,0.0259
baseline_multimodal,no_disruption,0.1,0.4,10,10,0,10,46.33104753991223,51.15712465077046,47.0218,0.949
baseline_multimodal,songpa_critical_link_blockage,0.0,0.0,10,10,0,1,7400.0,7400.0,7400.0,0.0
baseline_multimodal,songpa_critical_link_blockage,0.0,0.2,10,10,0,1,7400.0,7400.0,7400.0,0.0
baseline_multimodal,songpa_critical_link_blockage,0.0,0.4,10,10,0,1,7400.0,7400.0,7400.0,0.0
baseline_multimodal,songpa_critical_link_blockage,0.05,0.0,10,10,0,1,7400.0,7400.0,7400.0,0.0
baseline_multimodal,songpa_critical_link_blockage,0.05,0.2,10,10,0,1,7400.0,7400.0,7400.0,0.0
baseline_multimodal,songpa_critical_link_blockage,0.05,0.4,10,10,0,1,7400.0,7400.0,7400.0,0.0
baseline_multimodal,songpa_critical_link_blockage,0.1,0.0,10,10,0,1,7400.0,7400.0,7400.0,0.0
baseline_multimodal,songpa_critical_link_blockage,0.1,0.2,10,10,0,1,7400.0,7400.0,7400.0,0.0
baseline_multimodal,songpa_critical_link_blockage,0.1,0.4,10,10,0,1,7400.0,7400.0,7400.0,0.0
bus_only,no_disruption,0.0,0.0,10,10,0,1,19.85947688567979,19.85947688567979,19.8595,0.0
bus_only,no_disruption,0.0,0.2,10,10,0,1,19.85947688567979,19.85947688567979,19.8595,0.0
bus_only,no_disruption,0.0,0.4,10,10,0,1,19.85947688567979,19.85947688567979,19.8595,0.0
bus_only,no_disruption,0.05,0.0,10,10,0,10,19.770047452466216,19.966920018461295,19.8441,0.0343
bus_only,no_disruption,0.05,0.2,10,10,0,10,19.770047452466216,19.966920018461295,19.8441,0.0343
bus_only,no_disruption,0.05,0.4,10,10,0,10,19.770047452466216,19.966920018461295,19.8441,0.0343
bus_only,no_disruption,0.1,0.0,10,10,0,10,19.680618019252655,20.0743631512428,19.8286,0.0685
bus_only,no_disruption,0.1,0.2,10,10,0,10,19.680618019252655,20.0743631512428,19.8286,0.0685
bus_only,no_disruption,0.1,0.4,10,10,0,10,19.680618019252655,20.0743631512428,19.8286,0.0685
heavy_congestion_bus,songpa_spatial_tancheon_corridor,0.0,0.0,10,10,0,1,96.43915122170311,96.43915122170311,96.4392,0.0
heavy_congestion_bus,songpa_spatial_tancheon_corridor,0.0,0.2,10,10,0,1,96.43915122170311,96.43915122170311,96.4392,0.0
heavy_congestion_bus,songpa_spatial_tancheon_corridor,0.0,0.4,10,10,0,1,96.43915122170311,96.43915122170311,96.4392,0.0
heavy_congestion_bus,songpa_spatial_tancheon_corridor,0.05,0.0,10,10,0,10,91.57916137796641,99.48638008786716,96.2599,1.6343
heavy_congestion_bus,songpa_spatial_tancheon_corridor,0.05,0.2,10,10,0,10,91.57916137796641,99.48638008786716,96.2599,1.6343
heavy_congestion_bus,songpa_spatial_tancheon_corridor,0.05,0.4,10,10,0,10,91.57916137796641,99.48638008786716,96.2599,1.6343
heavy_congestion_bus,songpa_spatial_tancheon_corridor,0.1,0.0,10,10,0,10,88.13430325530831,102.53360895403115,96.7477,3.0177
heavy_congestion_bus,songpa_spatial_tancheon_corridor,0.1,0.2,10,10,0,10,88.13430325530831,102.53360895403115,96.7477,3.0177
heavy_congestion_bus,songpa_spatial_tancheon_corridor,0.1,0.4,10,10,0,10,88.13430325530831,102.53360895403115,96.7477,3.0177
severe_congestion_bus,songpa_rail_delay,0.0,0.0,10,10,0,1,80.76158997367985,80.76158997367985,80.7616,0.0
severe_congestion_bus,songpa_rail_delay,0.0,0.2,10,10,0,1,80.76158997367985,80.76158997367985,80.7616,0.0
severe_congestion_bus,songpa_rail_delay,0.0,0.4,10,10,0,1,80.76158997367985,80.76158997367985,80.7616,0.0
severe_congestion_bus,songpa_rail_delay,0.05,0.0,10,10,0,10,79.71239875262222,82.59619332441936,81.12,0.6325
severe_congestion_bus,songpa_rail_delay,0.05,0.2,10,10,0,10,79.71239875262222,82.59619332441936,81.12,0.6325
severe_congestion_bus,songpa_rail_delay,0.05,0.4,10,10,0,10,79.71239875262222,82.59619332441936,81.12,0.6325
severe_congestion_bus,songpa_rail_delay,0.1,0.0,10,10,0,10,78.6632075315646,84.43079667515886,81.4784,1.2649
severe_congestion_bus,songpa_rail_delay,0.1,0.2,10,10,0,10,78.6632075315646,84.43079667515886,81.4784,1.2649
severe_congestion_bus,songpa_rail_delay,0.1,0.4,10,10,0,10,78.6632075315646,84.43079667515886,81.4784,1.2649
