metric,rank,parameter_id,salib_name,method,max_abs_delta,mean_abs_delta,max_abs_delta_level,max_abs_delta_policy_id,max_abs_delta_scenario_id,baseline_value,low_value,high_value,unit,applies_to,scenario_filter,run_count,evidence_label,claim_scope,mu,mu_star,sigma,mu_star_conf,sample_count,num_trajectories,num_levels
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,baseline_multimodal,no_disruption,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,baseline_multimodal,songpa_access_origin_to_destination,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,baseline_multimodal,songpa_access_origin_to_station,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,baseline_multimodal,songpa_last_mile_station_to_destination,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,baseline_multimodal,songpa_rail_station_access,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,baseline_multimodal,songpa_random_blockage,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,baseline_multimodal,songpa_random_capacity_reduction,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,baseline_multimodal,songpa_spatial_tancheon_corridor,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,bus_corridor_redundancy,no_disruption,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,bus_corridor_redundancy,songpa_access_origin_to_destination,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
censored_count,1,capacity_reduction_factor,capacity_reduction_factor,salib_morris,0.0,0.0,,bus_corridor_redundancy,songpa_access_origin_to_station,,,,,,,60,scaffold-only,Pilot scaffold SALib Morris sensitivity output; not calibrated real-world sensitivity evidence or an operational forecast.,0.0,0.0,0.0,0.0,60,4,4
