region_id,graph_source,method,parameter_id,salib_name,level,parameter_value,baseline_value,low_value,high_value,unit,applies_to,scenario_filter,policy_id,scenario_id,scenario_family,scenario_type,seed,mode,completion_rate,censored_count,penalized_makespan,p80_arrival_time,p95_arrival_time,total_service_minutes,passengers_per_total_service_minute,delta_completion_rate,abs_delta_completion_rate,delta_censored_count,abs_delta_censored_count,delta_penalized_makespan,abs_delta_penalized_makespan,delta_p80_arrival_time,abs_delta_p80_arrival_time,delta_p95_arrival_time,abs_delta_p95_arrival_time,delta_total_service_minutes,abs_delta_total_service_minutes,delta_passengers_per_total_service_minute,abs_delta_passengers_per_total_service_minute,selected_edge_count,selected_edge_probability,notes,claim_scope
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,no_disruption,no_disruption,none,2201,bus_only,1.0,0,19.28,19.28,19.28,12.84,1.8697,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,baseline sensitivity-design values | policy=bus_only | scenario=no_disruption,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_random_capacity_reduction,random,capacity_reduction,2201,bus_only,1.0,0,19.28,19.28,19.28,12.84,1.8696,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_random_capacity_reduction,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_random_blockage,random,blocked,2201,bus_only,1.0,0,19.28,19.28,19.28,12.84,1.8697,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_random_blockage,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_critical_link_blockage,critical_link,blocked,2201,bus_only,1.0,0,19.28,19.28,19.28,12.84,1.8697,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_critical_link_blockage,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_access_origin_to_station,access_road,capacity_reduction,2201,bus_only,1.0,0,19.28,19.28,19.28,12.84,1.8696,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_access_origin_to_station,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_access_origin_to_destination,access_road,capacity_reduction,2201,bus_only,1.0,0,19.29,19.29,19.29,12.87,1.8652,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_access_origin_to_destination,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_last_mile_station_to_destination,last_mile,capacity_reduction,2201,bus_only,1.0,0,19.28,19.28,19.28,12.85,1.8678,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_last_mile_station_to_destination,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_rail_station_access,rail_station_access,capacity_reduction,2201,bus_only,1.0,0,19.28,19.28,19.28,12.84,1.8697,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_rail_station_access,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,bus_only,songpa_spatial_tancheon_corridor,spatial_hazard_overlay,capacity_reduction,2201,bus_only,1.0,0,19.28,19.28,19.28,12.84,1.8695,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,baseline sensitivity-design values | policy=bus_only | scenario=songpa_spatial_tancheon_corridor,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
songpa_public_demo,cached_graphml:data/cache/pilot_region_road.graphml,deterministic_oat_screening,__baseline__,,baseline,,,,,,all,all,baseline_multimodal,no_disruption,no_disruption,none,2201,multimodal,1.0,0,51.11,51.11,51.11,56.76,0.4228,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,baseline sensitivity-design values | policy=baseline_multimodal | scenario=no_disruption,Pilot scaffold sensitivity screening only; not calibrated real-world sensitivity indices or an operational forecast.
