qlapn1,32228,902.35,442.63,false,2017-11-10T12:17:14Z,2017-10-04,05:14:53,"5,4","{""x"":4,""y"":5}"
spfy86,63938,382.73,580.393,true,1930-03-22T10:59:54Z,1961-08-31,03:25:07,"2,5","{""x"":7,""y"":7}"
l1o0nn,70516,942.05,369.426,true,1953-01-06T07:33:15Z,1960-04-26,10:13:40,"5,7","{""x"":7,""y"":5}"
2iil4g,35535,970.82,643.86,false,1952-09-21T06:18:15Z,2006-03-25,07:11:53,"1,6","{""x"":3,""y"":9}"
nt0llq,22367,568.01,772.233,true,2009-10-28T09:38:29Z,2001-04-16,06:55:25,"4,5","{""x"":2,""y"":1}"
8gip5l,21311,539.42,239.402,true,2003-06-30T07:26:20Z,1928-03-15,08:42:52,"7,8","{""x"":6,""y"":4}"
rdl7cz,55680,554.23,472.29,false,1997-04-17T04:38:33Z,1977-02-13,02:29:49,"6,4","{""x"":8,""y"":8}"
08o7ho,42167,730.09,635.67,false,1980-11-21T10:33:14Z,1963-08-13,07:14:07,"5,7","{""x"":3,""y"":4}"
wzlk5f,19424,233.13,709.523,true,2018-04-17T02:03:19Z,1941-01-29,05:11:04,"1,2","{""x"":7,""y"":7}"
bfot9a,62605,289.59,162.65,false,1922-04-06T05:10:00Z,1930-12-19,04:12:02,"1,7","{""x"":7,""y"":7}"
2umzkf,59808,870.96,582.38,false,1941-08-27T08:31:00Z,1979-11-06,02:46:52,"8,5","{""x"":1,""y"":4}"
zpgpdo,20888,966.50,537.384,true,2008-03-16T02:17:39Z,1995-01-14,01:28:36,"7,5","{""x"":3,""y"":5}"
hxjako,15831,737.84,929.934,true,1976-02-13T06:59:52Z,2001-04-15,10:54:17,"1,2","{""x"":5,""y"":4}"
lyzuy6,50506,412.31,548.008,true,1961-01-15T04:29:03Z,1953-11-23,07:28:24,"4,4","{""x"":3,""y"":3}"
jb3mg5,73854,322.28,924.620,true,1987-01-08T11:40:28Z,1983-06-08,01:38:58,"9,1","{""x"":4,""y"":3}"
zxiddl,72900,678.12,153.34,false,1992-01-22T08:59:49Z,1920-06-04,03:15:07,"2,6","{""x"":5,""y"":9}"
6n8vz2,44009,824.18,442.98,false,1956-11-25T08:29:42Z,1945-06-04,10:14:38,"5,6","{""x"":9,""y"":5}"
jep85i,75028,468.30,300.07,false,1961-10-23T05:12:20Z,1944-12-21,01:50:09,"3,3","{""x"":4,""y"":7}"
ii12vv,17815,301.36,309.44,false,2020-02-20T07:35:14Z,1979-02-07,11:32:33,"4,1","{""x"":3,""y"":5}"
dg0ftz,64249,723.61,192.834,true,1942-09-23T08:33:02Z,1929-08-25,12:30:55,"9,3","{""x"":7,""y"":3}"
kyg8jw,57585,739.75,349.100,true,1934-10-19T10:30:02Z,1921-04-29,03:28:03,"8,4","{""x"":4,""y"":7}"
e0ehon,60630,564.66,236.66,false,1945-10-18T05:11:45Z,2017-08-22,12:53:41,"1,7","{""x"":7,""y"":5}"
pu2dh2,60285,714.35,179.84,false,1942-07-04T11:18:34Z,2003-11-08,08:14:29,"5,8","{""x"":9,""y"":6}"
3ut871,48337,198.99,344.385,true,1967-09-26T04:26:19Z,1985-11-13,01:45:48,"1,1","{""x"":8,""y"":5}"
85mfhx,60608,698.08,260.97,false,1993-05-27T01:54:06Z,2001-01-04,05:15:04,"1,1","{""x"":4,""y"":5}"
ko6o3b,93707,521.27,695.410,true,1967-05-22T01:06:02Z,1983-08-18,07:35:39,"2,1","{""x"":4,""y"":4}"
0tjrql,68160,983.97,952.93,false,1929-06-15T11:10:54Z,1946-10-11,08:45:54,"6,9","{""x"":5,""y"":4}"
pzyspq,21873,439.26,546.02,false,1961-03-25T09:25:23Z,2003-02-28,01:33:47,"3,5","{""x"":9,""y"":3}"
ki5llf,17133,918.87,631.373,true,1949-09-17T11:57:23Z,1982-11-29,12:00:34,"3,6","{""x"":3,""y"":9}"
zoz5li,56477,778.13,639.108,true,1973-07-24T06:34:50Z,1999-04-20,10:30:11,"9,7","{""x"":8,""y"":9}"
3196jv,43804,234.17,693.557,true,2019-01-12T01:35:22Z,1981-01-30,01:11:35,"3,4","{""x"":9,""y"":6}"
lye8zf,71775,684.65,744.07,false,1945-06-17T12:09:43Z,1980-04-25,09:09:48,"3,7","{""x"":9,""y"":8}"
2qlun3,98481,976.85,878.173,true,1954-08-16T05:06:40Z,2000-08-07,05:11:12,"3,6","{""x"":4,""y"":4}"
5xay9c,72863,304.68,995.022,true,1929-10-17T06:29:00Z,1971-06-12,12:41:07,"1,5","{""x"":8,""y"":4}"
qpshbc,23806,729.24,623.647,true,1961-07-30T07:11:08Z,1976-01-26,10:57:58,"5,4","{""x"":8,""y"":1}"
0sx503,22385,559.45,494.790,true,1926-05-22T01:05:25Z,1955-11-19,05:55:59,"8,9","{""x"":4,""y"":7}"
q5s180,12862,130.76,427.26,false,1955-04-22T01:31:34Z,1924-08-13,06:50:15,"4,4","{""x"":8,""y"":5}"
n5kyyy,35707,864.45,152.61,false,1985-07-30T09:35:42Z,1985-03-20,09:21:11,"5,3","{""x"":6,""y"":2}"
tubq6l,48458,809.41,306.274,true,1934-05-28T06:10:28Z,1967-11-24,09:00:34,"1,7","{""x"":7,""y"":2}"
nksi6j,86266,848.57,719.337,true,2014-05-11T06:30:41Z,1978-11-13,10:30:37,"1,1","{""x"":9,""y"":7}"
y6zhxt,59283,518.94,915.51,false,2001-11-28T05:45:05Z,1969-06-23,05:45:28,"5,6","{""x"":4,""y"":2}"
5f480v,66801,345.20,934.36,false,2013-09-20T09:54:18Z,1938-02-15,11:51:37,"2,7","{""x"":5,""y"":5}"
2rrgls,56061,259.72,706.604,true,1925-06-05T06:49:09Z,1994-08-31,09:28:05,"3,1","{""x"":1,""y"":1}"
e9ydin,40649,952.26,239.969,true,1922-11-24T10:23:25Z,1940-01-13,10:46:23,"9,2","{""x"":5,""y"":6}"
k4wkl2,12201,637.75,296.29,false,1990-08-22T07:04:53Z,1963-03-23,12:02:19,"4,8","{""x"":7,""y"":2}"
htif67,83664,207.35,818.84,false,2009-06-01T04:26:53Z,1966-02-17,06:08:14,"2,9","{""x"":5,""y"":7}"
